object,category,filename,source,date
guitar,Musical Instruments,alex1.wav,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,error.wav,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,guitarSolo.wav,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,cleanchord-D-02_001.wav,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,GCHORD01_001.mp3,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,5GL5E013.MP3,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,guitar11.mp3,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,Pre Bend.mp3,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,musicmanfingerb1.wav,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,bass-n-ohm-140-1-dry.mp3,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,beef-guitar1.wav,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,bass002.wav,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,cleanchord-B-02.wav,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,chilla_guitar_chops_3.wav,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,cleanbass-E-twang01.wav,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,guitar12.mp3,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,guitar4.wav,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,12acguit - 12 String D4..wav,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,Artist - man of bend.mp3,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,guiter_A4.wav,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,guitarSolo_001.wav,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,AcGuit_Minor_Chords - Bminup_001.wav,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,cleanmidbass-G01.wav,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,guitar2.wav,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,60s_Rock_Guitar - Cleangtr G3_001.wav,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,cleanchord-D-02-einzzwo.wav,www.findsounds.com,Tue Dec 16 20:08:43 2014
guitar,Musical Instruments,guitar-stratocaster-powerchords-quick-demo.mp3,www.findsounds.com,Tue Dec 16 20:08:43 2014
